Angle:	Rp:	Rs:	
  0.000 0.04000 0.04000
  1.000 0.03998 0.04002
  2.000 0.03994 0.04007
  3.000 0.03985 0.04015
  4.000 0.03974 0.04026
  5.000 0.03959 0.04041
  6.000 0.03941 0.04059
  7.000 0.03920 0.04080
  8.000 0.03896 0.04105
  9.000 0.03868 0.04134
 10.000 0.03837 0.04166
 11.000 0.03803 0.04202
 12.000 0.03765 0.04241
 13.000 0.03724 0.04285
 14.000 0.03680 0.04332
 15.000 0.03633 0.04384
 16.000 0.03582 0.04439
 17.000 0.03528 0.04499
 18.000 0.03470 0.04564
 19.000 0.03409 0.04634
 20.000 0.03345 0.04708
 21.000 0.03278 0.04788
 22.000 0.03207 0.04873
 23.000 0.03133 0.04963
 24.000 0.03056 0.05060
 25.000 0.02975 0.05162
 26.000 0.02891 0.05271
 27.000 0.02804 0.05387
 28.000 0.02714 0.05510
 29.000 0.02621 0.05641
 30.000 0.02525 0.05780
 31.000 0.02426 0.05927
 32.000 0.02324 0.06082
 33.000 0.02220 0.06247
 34.000 0.02113 0.06422
 35.000 0.02004 0.06608
 36.000 0.01892 0.06804
 37.000 0.01779 0.07013
 38.000 0.01664 0.07234
 39.000 0.01548 0.07468
 40.000 0.01431 0.07716
 41.000 0.01313 0.07979
 42.000 0.01195 0.08258
 43.000 0.01078 0.08554
 44.000 0.00961 0.08868
 45.000 0.00847 0.09201
 46.000 0.00734 0.09555
 47.000 0.00625 0.09931
 48.000 0.00520 0.10330
 49.000 0.00421 0.10754
 50.000 0.00328 0.11205
 51.000 0.00243 0.11684
 52.000 0.00167 0.12194
 53.000 0.00103 0.12736
 54.000 0.00053 0.13313
 55.000 0.00018 0.13927
 56.000 0.00001 0.14582
 57.000 0.00005 0.15279
 58.000 0.00034 0.16021
 59.000 0.00091 0.16813
 60.000 0.00180 0.17657
 61.000 0.00306 0.18558
 62.000 0.00474 0.19518
 63.000 0.00691 0.20543
 64.000 0.00962 0.21638
 65.000 0.01296 0.22806
 66.000 0.01701 0.24054
 67.000 0.02188 0.25387
 68.000 0.02766 0.26811
 69.000 0.03448 0.28333
 70.000 0.04249 0.29959
 71.000 0.05185 0.31698
 72.000 0.06273 0.33556
 73.000 0.07535 0.35542
 74.000 0.08994 0.37666
 75.000 0.10677 0.39936
 76.000 0.12613 0.42362
 77.000 0.14840 0.44956
 78.000 0.17395 0.47729
 79.000 0.20325 0.50693
 80.000 0.23681 0.53859
 81.000 0.27525 0.57243
 82.000 0.31925 0.60857
 83.000 0.36961 0.64716
 84.000 0.42726 0.68837
 85.000 0.49325 0.73235
 86.000 0.56884 0.77926
 87.000 0.65547 0.82930
 88.000 0.75483 0.88264
 89.000 0.86890 0.93947
 90.000 1.00000 1.00000
