Angle:	Rp:	Rs:	
  0.000 0.04000 0.04000
  1.000 0.03996 0.04004
  2.000 0.03985 0.04015
  3.000 0.03967 0.04033
  4.000 0.03941 0.04059
  5.000 0.03908 0.04093
  6.000 0.03868 0.04135
  7.000 0.03819 0.04185
  8.000 0.03763 0.04243
  9.000 0.03700 0.04311
 10.000 0.03628 0.04389
 11.000 0.03548 0.04477
 12.000 0.03460 0.04576
 13.000 0.03363 0.04687
 14.000 0.03258 0.04811
 15.000 0.03145 0.04949
 16.000 0.03022 0.05102
 17.000 0.02890 0.05273
 18.000 0.02749 0.05462
 19.000 0.02599 0.05673
 20.000 0.02439 0.05906
 21.000 0.02271 0.06166
 22.000 0.02093 0.06456
 23.000 0.01906 0.06780
 24.000 0.01711 0.07143
 25.000 0.01508 0.07550
 26.000 0.01300 0.08010
 27.000 0.01087 0.08530
 28.000 0.00873 0.09121
 29.000 0.00663 0.09798
 30.000 0.00461 0.10577
 31.000 0.00277 0.11481
 32.000 0.00125 0.12539
 33.000 0.00024 0.13790
 34.000 0.00006 0.15288
 35.000 0.00119 0.17109
 36.000 0.00445 0.19366
 37.000 0.01127 0.22234
 38.000 0.02431 0.26005
 39.000 0.04919 0.31219
 40.000 0.10006 0.39052
 41.000 0.22853 0.53098
 42.000 1.00000 1.00000
 43.000 1.00000 1.00000
 44.000 1.00000 1.00000
 45.000 1.00000 1.00000
 46.000 1.00000 1.00000
 47.000 1.00000 1.00000
 48.000 1.00000 1.00000
 49.000 1.00000 1.00000
 50.000 1.00000 1.00000
 51.000 1.00000 1.00000
 52.000 1.00000 1.00000
 53.000 1.00000 1.00000
 54.000 1.00000 1.00000
 55.000 1.00000 1.00000
 56.000 1.00000 1.00000
 57.000 1.00000 1.00000
 58.000 1.00000 1.00000
 59.000 1.00000 1.00000
 60.000 1.00000 1.00000
 61.000 1.00000 1.00000
 62.000 1.00000 1.00000
 63.000 1.00000 1.00000
 64.000 1.00000 1.00000
 65.000 1.00000 1.00000
 66.000 1.00000 1.00000
 67.000 1.00000 1.00000
 68.000 1.00000 1.00000
 69.000 1.00000 1.00000
 70.000 1.00000 1.00000
 71.000 1.00000 1.00000
 72.000 1.00000 1.00000
 73.000 1.00000 1.00000
 74.000 1.00000 1.00000
 75.000 1.00000 1.00000
 76.000 1.00000 1.00000
 77.000 1.00000 1.00000
 78.000 1.00000 1.00000
 79.000 1.00000 1.00000
 80.000 1.00000 1.00000
 81.000 1.00000 1.00000
 82.000 1.00000 1.00000
 83.000 1.00000 1.00000
 84.000 1.00000 1.00000
 85.000 1.00000 1.00000
 86.000 1.00000 1.00000
 87.000 1.00000 1.00000
 88.000 1.00000 1.00000
 89.000 1.00000 1.00000
 90.000 1.00000 1.00000
